============================================================================================
ANSOFT                                                                              04/04/20
XY Plot 3                                                                           14:48:11

--------------------------------------------------------------------------------------------
        Freq [GHz]         dB(S(2,2)) []         dB(S(5,2)) []
19.000000000000000   -16.300878734131089   -22.244799255684192
19.100000000000001   -16.208787037795048   -21.746562450705124
19.199999999999999   -16.144644991835730   -21.260302081657446
19.300000000000001   -16.107058884125706   -20.786199366170216
19.399999999999999   -16.094041969044220   -20.324651339763182
19.500000000000000   -16.102747221937019   -19.876258019817271
19.600000000000001   -16.129159385961007   -19.441802537329249
19.699999999999999   -16.167782667040804   -19.022223165207695
19.800000000000001   -16.211399462218040   -18.618576478501019
19.899999999999999   -16.251024158712841   -18.231991487810181
20.000000000000000   -16.276214763847751   -17.863615490793268
20.100000000000001   -16.275893161158791   -17.514553528999866
20.199999999999999   -16.239711311375086   -17.185804583959154
20.300000000000001   -16.159769567649974   -16.878198788686721
20.399999999999999   -16.032226069013639   -16.592340713653403
20.500000000000000   -15.858216899076663   -16.328563966175881
20.600000000000001   -15.643692045422036   -16.086901761423334
20.699999999999999   -15.398208571867759   -15.867076776664623
20.800000000000001   -15.133138575018357   -15.668511664236846
20.899999999999999   -14.859889946942337   -15.490359401843181
21.000000000000000   -14.588579314348145   -15.331550599440193
21.100000000000001   -14.327312300813871   -15.190853318635886
21.199999999999999   -14.081997353514756   -15.066940117710235
21.300000000000001   -13.856516463283871   -14.958456958209448
21.399999999999999   -13.653075040477795   -14.864089177402398
21.500000000000000   -13.472600191373003   -14.782620718808094
21.600000000000001   -13.315110711935754   -14.712983965079927
21.699999999999999   -13.180024312841454   -14.654298614201640
21.800000000000001   -13.066394137610386   -14.605898935949106
21.899999999999999   -12.973080470611526   -14.567349379518916
22.000000000000000   -12.898869051888664   -14.538448885858418
