============================================================================================
ANSOFT                                                                              04/04/20
XY Plot 2                                                                           13:05:43

--------------------------------------------------------------------------------------------
        Freq [GHz]        re(S(1,1)) []        im(S(1,1)) []
 7.600000000000000    0.770947095952057    0.624912442345759
 7.700000000000000    0.789904354035031    0.600703259882707
 7.800000000000000    0.808081479425354    0.575949949677706
 7.900000000000000    0.825463997869355    0.550677948273223
 8.000000000000000    0.842038258393119    0.524913019734591
 8.100000000000000    0.857791437697603    0.498681230279318
 8.199999999999999    0.872711543903119    0.472008923020738
 8.300000000000001    0.886787419655152    0.444922692830325
 8.400000000000000    0.900008744602176    0.417449361322659
 8.500000000000000    0.912366037254968    0.389615951966812
 8.600000000000000    0.923850656235685    0.361449665327795
 8.699999999999999    0.934454800923862    0.332977854441856
 8.800000000000001    0.944171511505408    0.304228000329497
 8.900000000000000    0.952994668429673    0.275227687650427
 9.000000000000000    0.960918991278721    0.246004580505042
 9.100000000000000    0.967940037052128    0.216586398387507
 9.199999999999999    0.974054197869838    0.187000892296118
 9.300000000000001    0.979258698095000    0.157275821007254
 9.400000000000000    0.983551590878115    0.127438927519958
 9.500000000000000    0.986931754123429    0.097517915678986
 9.600000000000000    0.989398885878130    0.067540426984969
 9.699999999999999    0.990953499144734    0.037534017601196
 9.800000000000001    0.991596916116898    0.007526135567432
 9.900000000000000    0.991331261838966   -0.022455901767923
10.000000000000000    0.990159457289628   -0.052384930085136
10.100000000000000    0.988085211890359   -0.082233960186768
10.199999999999999    0.985113015439633   -0.111976199833670
10.300000000000001    0.981248129474409   -0.141585075308467
10.400000000000000    0.976496578060914   -0.171034252690897
10.500000000000000    0.970865138017487   -0.200297658828555
10.600000000000000    0.964361328572963   -0.229349501985933
10.699999999999999    0.956993400464999   -0.258164292153929
10.800000000000001    0.948770324483668   -0.286716861001506
10.900000000000000    0.939701779466694   -0.314982381450617
11.000000000000000    0.929798139753810   -0.342936386855178
11.100000000000000    0.919070462108903   -0.370554789764489
11.199999999999999    0.907530472119820   -0.397813900251364
11.300000000000001    0.895190550086992   -0.424690443785086
11.400000000000000    0.882063716413366   -0.451161578629313
11.500000000000000    0.868163616509458   -0.477204912745208
11.600000000000000    0.853504505228679   -0.502798520180282
11.699999999999999    0.838101230849533   -0.527920956923786
11.800000000000001    0.821969218622536   -0.552551276209989
11.900000000000000    0.805124453901197   -0.576669043251254
12.000000000000000    0.787583464877586   -0.600254349383545
12.100000000000000    0.769363304944467   -0.623287825607817
12.199999999999999    0.750481534707106   -0.645750655511707
12.300000000000001    0.730956203669149   -0.667624587556990
12.400000000000000    0.710805831618073   -0.688891946719423
12.500000000000000    0.690049389736809   -0.709535645468903
12.600000000000000    0.668706281469113   -0.729539194079199
